"Yoast SEO Plugin","*https://yoast.com/wordpress/plugins/seo/ --*"
"WPSEO","*wpSEO (https://www.wpseo.org)*"
"All In One Seo","*-- All in One SEO*"
"SEO Ultimate","*-- SEO Ultimate Pro*"
