"Google Ads","*Google tag (gtag.js) - Google Ads:*"
"addfarm","*adfarm1.adition*"
"uimserv.net","*adimg.uimserv.net*"
"nativendo","*https://c.nativendo*"
"gujad","*class=gujAd focus*"
