"JSON-LD","*application/ld+json*"
"schema.org","*schema.org*"
"Vote Links","*rev=*vote*"
"rel-tag","*rel=*tag*"
"rel-license","*rel=*license*"
"rel-enclosure","*rel=*enclosure*"
"XMDP","*<dt id=*"
"XFN","*rel= *friend met*"
"XOXO","*class= *xoxo*"
"hcard","*hcard*"
"vcard","*vcard*"
